Time,Latitude,Longitude,Altitude,Satellites,HDOP,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Pressure,Temperature,Roll,Pitch,Yaw
1749560644.3441055,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.3451161,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.3461177,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6518738,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.652413,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.652413,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.652413,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6539643,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6539643,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6539643,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6549857,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6549857,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6549857,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6560411,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6560411,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6569817,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6569817,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6569817,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6569817,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6579819,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6579819,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6579819,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6591644,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6591644,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6601646,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6634789,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6645885,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6655872,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6655872,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6665826,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.667502,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.667502,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6685958,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6699438,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6715567,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6721485,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6721485,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6731627,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6731627,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6731627,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6731627,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6743288,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
